id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1461337041480798212	1461337041480798212	2021-11-18 11:14:35 -03	2021-11-18	11:14:35	-0300	128372940	jairbolsonaro	Jair M. Bolsonaro		- Retornando para o Brasil. - Nossa live será amanhã, sexta-feira, às 19h.  https://t.co/Zt5WXI36ta	pt	[]	[]	['https://pbs.twimg.com/media/FEe2R8sUUAc8U-I.jpg']	736	1643	10762	[]	[]	https://twitter.com/jairbolsonaro/status/1461337041480798212	False		1	https://pbs.twimg.com/media/FEe2R8sUUAc8U-I.jpg							[]				
1461288330998411273	1461288330998411273	2021-11-18 08:01:02 -03	2021-11-18	08:01:02	-0300	128372940	jairbolsonaro	Jair M. Bolsonaro		- Em dezembro deste ano, o @minsaude lança o primeiro edital do programa  Médicos Pelo Brasil!   - 5 mil vagas para profissionais de todo o Brasil. Os médicos selecionados serão chamados para garantir assistência em locais onde o Brasil mais precisa. @dramayraoficial @govbr  https://t.co/EVXHZhD3YV	pt	[{'screen_name': 'minsaude', 'name': 'ministério da saúde', 'id': '37717107'}, {'screen_name': 'dramayraoficial', 'name': 'dra. mayra pinheiro', 'id': '1226874382938787841'}, {'screen_name': 'govbr', 'name': 'governo do brasil', 'id': '861707648584085504'}]	[]	[]	324	1863	8318	[]	[]	https://twitter.com/jairbolsonaro/status/1461288330998411273	False		1	https://pbs.twimg.com/ext_tw_video_thumb/1461288244448874500/pu/img/__wHwBhMtJ8ZZJaP.jpg							[]				
1461053116275585026	1461053116275585026	2021-11-17 16:26:22 -03	2021-11-17	16:26:22	-0300	128372940	jairbolsonaro	Jair M. Bolsonaro		- Nos Emirados Árabes Unidos, o PR Jair Bolsonaro saúda o Governador de Minas Gerais, Romeu Zema, no encontro com empresários locais.   - Informo que por estar em voo no caminho de volta, nossa tradicional live será transmitida na sexta-feira às 19:00.  https://t.co/ccRGsp6l6H	pt	[]	[]	[]	670	2354	11547	[]	[]	https://twitter.com/jairbolsonaro/status/1461053116275585026	False		1	https://pbs.twimg.com/ext_tw_video_thumb/1461053013175332868/pu/img/E9qb-UoafF5tCnJR.jpg							[]				
1461046833564635138	1461046833564635138	2021-11-17 16:01:24 -03	2021-11-17	16:01:24	-0300	128372940	jairbolsonaro	Jair M. Bolsonaro		Nós, Brasileiros, agradecemos Sua Alteza pela gentileza, carinho e consideração. Os laços entre nossas nações certamente crescerão a cada dia. Brasil e Catar cada vez mais unidos! 🇧🇷🤝🇶🇦	pt	[]	[]	[]	1224	3976	22690	[]	[]	https://twitter.com/jairbolsonaro/status/1461046833564635138	False	https://twitter.com/tamimbinhamad/status/1460923823541432368	0								[]				
1461009357475389440	1461009050796240896	2021-11-17 13:32:29 -03	2021-11-17	13:32:29	-0300	128372940	jairbolsonaro	Jair M. Bolsonaro		@al_watanQatar @SouqWaqif_Doha 🇧🇷🤝🦅 🇶🇦	und	[]	[]	[]	44	121	1681	[]	[]	https://twitter.com/jairbolsonaro/status/1461009357475389440	False		0								[{'screen_name': 'al_watanQatar', 'name': 'جريدة الوطن', 'id': '604360798'}, {'screen_name': 'SouqWaqif_Doha', 'name': 'سوق واقف', 'id': '1657773235'}]				
1460993519808569344	1460993519808569344	2021-11-17 12:29:33 -03	2021-11-17	12:29:33	-0300	128372940	jairbolsonaro	Jair M. Bolsonaro		- Hoje em Doha (17), assim como nos Emirados Árabes e Bahrein, nossa hospedagem é por conta dos respectivos países:  . Mais informações sobre frutos positivos para o Brasil diante nossa vinda a estes países, em nosso Telegram: “Jair M. Bolsonaro 1”  https://t.co/zBJ3M8851Y	pt	[]	[]	[]	925	3443	15546	[]	[]	https://twitter.com/jairbolsonaro/status/1460993519808569344	False		1	https://pbs.twimg.com/ext_tw_video_thumb/1460993056820367362/pu/img/U7nE5WrPFNMJStHf.jpg							[]				
1460972480206708742	1460885410037575680	2021-11-17 11:05:57 -03	2021-11-17	11:05:57	-0300	128372940	jairbolsonaro	Jair M. Bolsonaro		- Informações atualizadas sobre frutos oriundos de nossa ida aos Emirados Árabes em nosso Telegram 👍🏻:   https://t.co/O8KTejUGuL  https://t.co/fGc7AUX90a	pt	[]	['https://t.me/jairbolsonarobrasil']	[]	288	752	3314	[]	[]	https://twitter.com/jairbolsonaro/status/1460972480206708742	False		1	https://pbs.twimg.com/ext_tw_video_thumb/1460972422954467334/pu/img/-ghfvzAndVCie_e7.jpg							[]				
1460939596599025668	1460939298769981446	2021-11-17 08:55:17 -03	2021-11-17	08:55:17	-0300	128372940	jairbolsonaro	Jair M. Bolsonaro		- A droga foi ocultada dentro de um contêiner com 7 mil garrafas de cerveja e tinha como destino a cidade de Porto, em Portugal. @andersongtorres @govbr @govbrazil	pt	[{'screen_name': 'andersongtorres', 'name': 'anderson torres', 'id': '1108101424699899904'}, {'screen_name': 'govbr', 'name': 'governo do brasil', 'id': '861707648584085504'}, {'screen_name': 'govbrazil', 'name': 'government of brazil', 'id': '126397246'}]	[]	[]	141	916	6197	[]	[]	https://twitter.com/jairbolsonaro/status/1460939596599025668	False		0								[]				
1460939463706697728	1460939298769981446	2021-11-17 08:54:45 -03	2021-11-17	08:54:45	-0300	128372940	jairbolsonaro	Jair M. Bolsonaro		- A operação realizada foi conjunta com a @ReceitaFederal , @policiafederal e outros órgãos.  - Essa foi a terceira apreensão de drogas em menos de 30 dias no Porto de Vila do Conde.	pt	[{'screen_name': 'receitafederal', 'name': 'receita federal', 'id': '18718638'}, {'screen_name': 'policiafederal', 'name': 'polícia federal', 'id': '106714016'}]	[]	[]	65	827	6082	[]	[]	https://twitter.com/jairbolsonaro/status/1460939463706697728	False		0								[]				
1460939298769981446	1460939298769981446	2021-11-17 08:54:06 -03	2021-11-17	08:54:06	-0300	128372940	jairbolsonaro	Jair M. Bolsonaro		- Mais uma: A @PRFBrasil na manhã do dia (14), apreendeu aproximadamente 441kg de cloridrato de cocaína, no Porto de Vila do Conde, em Barcarena/PA.   - O prejuízo para o crime organizado é estimado em quase 80 MILHÕES de reais. @JusticaGovBR	pt	[{'screen_name': 'prfbrasil', 'name': 'prf brasil', 'id': '1208570756'}, {'screen_name': 'justicagovbr', 'name': 'ministério da justiça e segurança pública', 'id': '68810711'}]	[]	[]	600	2798	15036	[]	[]	https://twitter.com/jairbolsonaro/status/1460939298769981446	False		0								[]				
