id,title,isPartOf,publicationYear,doi,docType,docSubType,provider,collection,datePublished,issueNumber,volumeNumber,url,creator,publisher,language,pageStart,pageEnd,placeOfPublication,wordCount,pageCount,outputFormat
http://www.jstor.org/stable/1156397,Review Article,Africa: Journal of the International African Institute,1943,,article,book-review,jstor,,1943-04-01,2,14,http://www.jstor.org/stable/1156397,E. O. Ashton,Cambridge University Press,eng,102,102,,690,1,unigram; bigram; trigram
http://www.jstor.org/stable/3180594,INZUIKIƷI,Africa: Journal of the International African Institute,1935,,article,research-article,jstor,,1935-10-01,4,8,http://www.jstor.org/stable/3180594,Edwin W. Smith,Cambridge University Press,eng,473,480,,3505,8,unigram; bigram; trigram
http://www.jstor.org/stable/1155333,Review Article,Africa: Journal of the International African Institute,1932,,article,book-review,jstor,,1932-01-01,1,5,http://www.jstor.org/stable/1155333,A. Werner,Cambridge University Press,eng,95,97,,1429,3,unigram; bigram; trigram
http://www.jstor.org/stable/1155810,Review Article,Africa: Journal of the International African Institute,1930,,article,book-review,jstor,,1930-04-01,2,3,http://www.jstor.org/stable/1155810,Henri Labouret,Cambridge University Press,fre,247,248,,909,2,unigram; bigram; trigram
http://www.jstor.org/stable/1156777,Review Article,Africa: Journal of the International African Institute,1956,,article,book-review,jstor,,1956-01-01,1,26,http://www.jstor.org/stable/1156777,Jan Vansina,Cambridge University Press,fre,91,92,,1450,2,unigram; bigram; trigram
http://www.jstor.org/stable/1157031,New Editions,Africa: Journal of the International African Institute,1946,,article,misc,jstor,,1946-04-01,2,16,http://www.jstor.org/stable/1157031,E. W. S.,Cambridge University Press,eng,137,137,,513,1,unigram; bigram; trigram
http://www.jstor.org/stable/1157076,Review Article,Africa: Journal of the International African Institute,1945,,article,book-review,jstor,,1945-10-01,4,15,http://www.jstor.org/stable/1157076,Audrey I. Richards,Cambridge University Press,eng,218,220,,2185,3,unigram; bigram; trigram
http://www.jstor.org/stable/1157018,Applied Anthropology,Africa: Journal of the International African Institute,1946,,article,research-article,jstor,,1946-04-01,2,16,http://www.jstor.org/stable/1157018,E. E. Evans-Pritchard,Cambridge University Press,eng,92,98,,4211,7,unigram; bigram; trigram
http://www.jstor.org/stable/3180419,The Divine Umundri King,Africa: Journal of the International African Institute,1935,,article,research-article,jstor,,1935-07-01,3,8,http://www.jstor.org/stable/3180419,M. D. W. Jeffreys,Cambridge University Press,eng,346,354,,3584,9,unigram; bigram; trigram
http://www.jstor.org/stable/1157040,Notes and News,Africa: Journal of the International African Institute,1953,,article,misc,jstor,,1953-04-01,2,23,http://www.jstor.org/stable/1157040,,Cambridge University Press,eng,156,159,,2202,4,unigram; bigram; trigram
http://www.jstor.org/stable/1156259,Front Matter,Africa: Journal of the International African Institute,1949,,article,misc,jstor,,1949-01-01,1,19,http://www.jstor.org/stable/1156259,,Cambridge University Press,eng,1,2,,656,4,unigram; bigram; trigram
http://www.jstor.org/stable/1156467,Observations on 'Gurage Notes',Africa: Journal of the International African Institute,1951,,article,research-article,jstor,,1951-04-01,2,21,http://www.jstor.org/stable/1156467,Wolf Leslau,Cambridge University Press,eng,139,145,,4409,7,unigram; bigram; trigram
http://www.jstor.org/stable/1155687,Review Article,Africa: Journal of the International African Institute,1933,,article,book-review,jstor,,1933-07-01,3,6,http://www.jstor.org/stable/1155687,Mario de Mandato,Cambridge University Press,ita,346,348,,1249,3,unigram; bigram; trigram
http://www.jstor.org/stable/1156793,Notes and News,Africa: Journal of the International African Institute,1950,,article,misc,jstor,,1950-07-01,3,20,http://www.jstor.org/stable/1156793,,Cambridge University Press,fre,250,252,,1760,3,unigram; bigram; trigram
