,AUTOR,Texto,TAGS
0,Albert Einstein,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,change - deep-thoughts - thinking - world
2,Albert Einstein,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,inspirational - life - live - miracle - miracles
5,Albert Einstein,“Try not to become a man of success. Rather become a man of value.”,adulthood - success - value
12,Albert Einstein,"“If you can't explain it to a six year old, you don't understand it yourself.”",simplicity - understand
26,Albert Einstein,"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”",children - fairy-tales
28,Albert Einstein,“Logic will get you from A to Z; imagination will get you everywhere.”,imagination
37,Albert Einstein,“Any fool can know. The point is to understand.”,knowledge - learning - understanding - wisdom
44,Albert Einstein,"“Life is like riding a bicycle. To keep your balance, you must keep moving.”",life - simile
53,Albert Einstein,"“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”",music
80,Albert Einstein,“Anyone who has never made a mistake has never tried anything new.”,mistakes
