Vessel name,Bandeira,Total embarked,Total disembarked,Percent men,Percent women,Mortality rate,Middle passage,Captain's name
Pastora de Lima,Portugal,404,290,,,0.28,56,"Dias, Manoel José"
Tibério,,246,223,,,,74,"Mata, José Maria da"
Paquete Real,,405,350,,,0.14,,"Ferreira, José dos Santos"
Bom Caminho,,381,342,,,0.1,,"Dias, Domingos Francisco"
Benigretta,,578,516,,,,,
Voador,,557,515,,,,,
Formiga,,234,204,,,,38,"Viana, Isidoro Antônio"
Vigilante Africano,,413,374,,,,,"Amorim, José Gomes de"
Constante,,368,345,,,0.06,28,"Narciso, Antônio"
Comerciante,,481,478,,,0.0062370063,,"Braga, Isidoro Martins"
Diligente,,195,180,,,,,
Bonfim,,640,502,,,0.22,27,"Coelho, João Batista"
Triunfo,,544,503,,,,,
S Lourenço,,520,471,,,,24,"Vilasboas, João da Silveira"
Paquete da Bahia,,528,478,,,,,"Almeida, Manoel Joaquim de"
Sociedade,Portugal,434,393,,,,29,"Alves, João Luís"
Famoso Ateneu,,599,545,,,0.09,32,"Fogaça, Antônio Gomes"
Trajano,,463,459,,,0.01,32,"Silva, Joaquim Rodrigues da"
Maria,,519,457,,,0.12,32,"Silva, Joaquim Henriques da"
Bonfim,,614,598,,,0.03,31,"Batalha, Luís Antônio"
Esgueira,,607,521,,,0.14,58,"Domingues, Jerônimo"
Caçador,,594,570,,,0.04,32,"Santos, Félix José dos<br/> Fontes, João Joaquim de Souza"
Flor do Rio,,511,388,,,0.24,49,"Teodoro, Teotônio José"
Pastora,,124,114,,,,,
Emília,,444,415,,,0.07,45,"Amorim, Domingos Fernandes de"
S Pedro do Sul,,442,428,,,0.03,35,"Siqueira, João Inácio de"
Diligente,,137,129,,,0.06,45,"Castro, Alexandre José de<br/> Rodrigues, Custódio"
S João Americano,,597,524,,,0.12,46,"Teixeira, José de Souza"
Grão Penedo,,546,487,,,0.11,52,"Pina, Antônio de"
Mariana Dáfne,,321,307,,,0.04,42,"Oliveira, José Malaquias de"
Resolução,,401,354,,,0.12,97,"Gomes, Manoel José"
Serpente,,439,429,,,0.02,42,"Sá, Teodoro José de<br/> Santos, Manoel Pereira dos"
Lusitânia,,738,649,,,0.12,37,"Lopes, Francisco da Silva"
Reino do Brasil,,427,352,,,0.18,34,"Silva, José Leite da<br/> Fogaça, José Joaquim"
Maria Tomásia,,388,368,,,0.05,26,"Melo, Francisco Xavier Álvares de"
S José Diligente Vulcano,,420,409,,,0.03,33,"Ferreira, Francisco Pedro"
General Silveira,,500,436,,,0.13,42,"Souza, Manoel Pereira de"
NS do Livramento Telêmaco,,541,481,,,0.11,55,"Nunes, José Antônio"
Amália,,813,776,,,0.05,27,"Camizão, José Maria de Araújo<br/> Pereira, José Marques"
Diligente,,466,393,,,0.16,29,"Caldas, Manoel José"
Tejo,,490,417,,,0.15,34,"Oliveira, Antônio Xavier de"
Flor do Mar,,540,456,,,0.16,31,"Alcântara, Marcelino José de"
Feliz Dias,,282,214,,,0.24,45,"Estrela, Francisco Luís da Cunha"
Leopoldina,,489,441,,,0.1,44,"Rubim, Teodoro de Souza"
S Rosa,,464,439,,,0.05,36,"Viana, Pedro José Correa"
Golfinho,,476,399,,,0.16,37,"Fonseca, Manoel Joaquim da"
Bonfim,,604,574,,,0.05,34,"Batalha, Luís Antônio"
Caçador,,594,557,,,0.06,32,"Fontes, João Joaquim de Souza"
Mercúrio,,496,489,,,0.01,33,"Martins, Francisco José"
Patrocínio,,324,302,,,0.07,37,"Sá, Joaquim Manoel de<br/> Silva, Manoel Francisco da"
Voador,,382,376,,,0.02,27,"Pacheco, José dos Santos"
Pequena Aventura,,239,214,,,0.1,41,"Dias, Manoel José"
NS dos Remédios,,229,215,,,0.06,43,"Magalhães, Francisco José Pereira de"
Maria,,530,500,,,0.06,26,"Silva, Joaquim Henriques da"
Duque de Bragança,,606,537,,,0.11,57,"Souza, Luís Inácio de"
S Pedro do Sul,,445,435,,,0.02,30,"Siqueira, João Inácio de"
Triunfo do Brasil,,637,611,,,0.04,36,"Carrilho, João Rodrigues"
Protetor General,,807,468,,,0.42,72,"Silva, José dos Santos Almeida e"
Trajano,,449,417,,,0.07,26,"Silva, Joaquim Rodrigues da"
Feliz Americano,,419,400,,,0.05,35,"Azevedo, Agostinho de"
Pérola do Norte,,421,260,,,0.38,82,"Barbosa, Joaquim Gomes"
Esgueira,,584,500,,,0.14,52,"Domingues, Jerônimo"
Feliz Eugênia,,633,596,,,0.06,31,"Moraes, José de"
Reino do Brasil,,400,385,,,0.04,34,"Teixeira, José de Souza"
Ligeiro,,441,433,,,0.02,42,"Assis, Francisco Antônio de"
Conde da Barca,,451,430,,,0.05,22,"Lopes, Francisco da Silva"
Grão Penedo,,428,420,,,0.02,31,"Pina, Antônio de"
Serpente,,438,414,,,0.05,34,"Santos, Manoel Pereira dos"
Pastora de Lima,,479,400,,,0.16,63,"Cunha, Eusébio José da"
Aurora do Cabo,,430,341,,,0.21,77,"Pederneira, Manoel Pereira"
Mariana Dáfne,,345,326,,,0.06,35,"Macedo, Joaquim Teixeira de"
NS do Livramento Telêmaco,,541,509,,,0.06,44,"Nunes, José Antônio"
Triunfo do Rio,,522,495,,,0.05,49,"Jaques, Malaquias Lisandro"
Famoso Ateneu,,370,344,,,0.07,40,"Fogaça, Antônio Gomes"
Feliz Carlota,,225,187,,,0.17,35,"Cardoso, Manoel Eusébio"
S José Diligente,,464,226,,,0.51,86,"Nunes, Francisco Pereira"
Ana do Rio,,341,317,,,0.07,34,"Oliveira, João José de"
Lusitânia,,669,621,,,0.07,45,"Fogaça, José Joaquim"
Amizade,,487,428,,,0.12,48,"Portela, Adriano"
S João Americano,,391,329,,,0.16,58,"Madeira, Manoel José"
Saudade do Sul,,286,259,,,0.09,45,"Rocha, João Manoel Pinto da"
Delfina,,409,274,,,0.33,39,"Rozo, Manoel Fernandes"
Olímpia,,441,368,,,0.17,27,"Blanchart, Manoel Pereira de Souza"
Voadora,,463,424,,,0.08,33,"Santos, José Pedro dos"
S José Diligente Vulcano,,444,385,,,0.13,38,"Alves, Isidoro<br/> Oliveira, José Malaquías de"
Maria Tomásia,,305,281,,,0.08,32,"Melo, Francisco Xavier Álvares de"
União Feliz,,659,430,,,0.35,76,"Silva, Joaquim José da<br/> Caldeira, Antônio Gomes<br/> Teixeira, Jacinto Alves"
Emília,,392,290,,,0.26,57,"Almeida, André Germano Severino de"
S Rosa,,300,293,,,0.02,40,"Araújo, Tomás Raimundo Rodrigues de"
Príncipe Real,,424,319,,,0.25,48,"Marta, Inácio Alves"
Amália,,816,751,,,0.08,30,"Garcia, Francisco Correa"
Bonfim,,572,540,,,0.06,27,"Batalha, Luís Antônio"
General Silveira,,405,391,,,0.03,26,"Figueiredo, João Macário da Silva<br/> Serra, Vicente Nunes da"
Voador,,367,365,,,0.01,28,"Pacheco, José dos Santos<br/> Viana, Pedro Jose Correa"
Patrocínio,Portugal,274,239,,,,25,"Gomes, Manoel Luís<br/> SIlva, Manoel Francisco da"
